# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_avuncular_model
# start_datetime = 2023-05-12 13:15:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_avuncular_input.json
# random
#   seed = 390320259 (Default)
# output
#   file = model_avuncular_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,birth_date_grandmother,birth_date_sister,age_m_s
# Adaptation terminated
# Step size = 0.285566
# Diagonal elements of inverse mass matrix:
# 35.1691, 33.9261, 0.0197128, 0.0360047, 0.523319, 0.427349
10.2898,0.998031,0.285566,3,7,0,-3.83794,-526.484,-492.705,41.6907,34.2553,17.0462,31.1069,-585.221,-558.068,27.1535
9.88183,0.992415,0.285566,4,15,0,-9.12984,-525.927,-490.542,45.6294,38.7618,18.1714,28.8675,-589.728,-558.171,31.5569
9.877,0.571457,0.285566,2,7,0,-7.4228,-524.514,-492.394,44.8164,38.9313,17.817,25.0835,-587.147,-556.409,30.7382
7.62325,0.963086,0.285566,3,7,0,-6.61933,-513.657,-486.79,40.953,36.4454,24.457,35.7867,-579.067,-559.022,20.045
9.53409,1,0.285566,4,15,0,-6.46074,-529.451,-501.494,44.7493,33.7115,17.6363,33.601,-591.836,-568.807,23.0296
3.89254,0.687167,0.285566,3,15,0,-2.64228,-514.84,-493.236,35.1167,19.156,24.6331,26.399,-574.59,-538.791,35.7985
5.60428,0.995059,0.285566,3,7,0,-2.12986,-515.501,-497.494,32.4214,22.1039,19.8506,26.7246,-567.773,-546.322,21.451
5.34058,0.436467,0.285566,1,2,1,-1.1372,-514.812,-495.802,34.2592,21.9356,21.4129,22.6881,-570.484,-540.426,30.0583
5.94218,0.816246,0.285566,4,15,0,-2.39617,-536.244,-492.712,48.2421,48.8652,19.8562,32.2906,-604.342,-573.867,30.4746
7.16054,0.416952,0.285566,3,7,0,-0.518755,-536.338,-488.637,44.4962,35.0492,22.7211,34.1376,-603.556,-557.824,45.7315
9.51301,0.79567,0.285566,2,5,1,-5.08728,-530.774,-492.869,47.5939,35.1777,19.4227,35.9323,-597.791,-563.979,33.8122
8.50745,0.780359,0.285566,2,5,1,-5.95125,-525.648,-498.833,48.7774,32.49,16.9933,24.9793,-591.419,-556.302,35.1168
8.81037,0.833333,0.285566,2,6,1,-6.04202,-521.035,-496.295,46.5529,32.9864,18.3115,21.2677,-585.899,-550.549,35.3507
8.69094,0.804838,0.285566,4,15,0,-7.15707,-526.866,-484.999,37.8257,34.5505,23.1119,31.2176,-587.803,-550.767,37.0363
8.17387,0.947906,0.285566,3,7,0,-5.81801,-519.951,-485.966,34.1453,37.9252,17.5155,25.8876,-571.612,-549.779,21.833
6.40195,0.290748,0.285566,1,3,1,-0.30605,-521.471,-480.527,33.0634,34.8816,17.4913,26.6525,-572.025,-542.061,29.9646
8.57791,0.998286,0.285566,4,15,0,-4.22436,-528.849,-505.906,46.0206,34.409,22.5479,31.1486,-597.417,-571.464,25.954
8.54271,0.987871,0.285566,3,7,0,-6.86502,-524.221,-503.38,50.0333,32.3141,18.6371,31.1056,-592.892,-566.8,26.092
8.28484,0.990414,0.285566,4,15,0,-4.47779,-522.508,-500.705,52.3111,31.9276,19.0539,37.5695,-593.873,-570.202,23.6707
6.63169,0.985863,0.285566,4,15,0,-4.84499,-519.621,-503.631,45.7998,26.3194,28.1711,35.5006,-593.592,-565.451,28.1403
6.63169,0,0.285566,0,1,1,-1.92156,-519.621,-503.631,45.7998,26.3194,28.1711,35.5006,-593.592,-565.451,28.1403
9.48994,0.601388,0.285566,4,23,0,-2.71685,-523.663,-486.919,44.2148,39.0878,19.2192,28.934,-587.097,-554.941,32.1561
9.84333,0.995935,0.285566,3,15,0,-7.37295,-530.742,-492.63,45.0664,34.1223,18.4194,35.463,-594.227,-562.215,32.0124
10.5049,0.49616,0.285566,3,15,0,-8.10714,-528.285,-494.289,44.8728,35.6838,18.9738,38.2036,-592.131,-568.177,23.9544
9.62531,0.969522,0.285566,4,15,0,-8.30025,-519.321,-495.205,39.4861,32.9508,17.5423,23.7956,-576.349,-551.951,24.398
5.04954,0.905611,0.285566,3,7,0,-3.39792,-519.155,-477.701,39.7678,32.3101,20.011,26.0592,-578.934,-536.07,42.8636
3.04354,0.83162,0.285566,2,6,1,0.547677,-519.649,-475.486,41.1647,40.4274,17.9372,20.8639,-578.751,-536.777,41.9734
2.95186,0.888889,0.285566,3,9,1,1.00689,-516.274,-479.611,40.5508,45.6987,18.9127,17.7179,-575.737,-543.028,32.7096
6.01354,1,0.285566,3,7,0,-1.10766,-512.21,-491.708,38.8864,37.0196,18.2314,17.3255,-569.327,-546.053,23.2745
5.5361,0.888218,0.285566,3,14,1,-1.84023,-515.917,-493.699,41.0823,29.7228,16.6174,16.81,-573.617,-540.232,33.3852
5.06673,0.999874,0.285566,3,7,0,-4.36003,-515.425,-493.226,40.7436,30.5828,16.4645,16.3642,-572.633,-540.173,32.4607
3.57543,0.818463,0.285566,4,15,0,-1.41398,-518.986,-491.437,36.155,28.685,23.7211,15.454,-578.862,-535.576,43.2863
