# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_cousins_model
# start_datetime = 2023-05-12 13:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_cousins_input.json
# random
#   seed = 391094460 (Default)
# output
#   file = model_cousins_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,age_m2_h,birth_date_grandmother,age_m2_a
# Adaptation terminated
# Step size = 0.358958
# Diagonal elements of inverse mass matrix:
# 36.5644, 35.1106, 0.0229314, 0.0255476, 0.481555, 0.359001, 0.48312
6.29537,0,0.358958,0,1,1,-1.20731,-525.719,-493.301,50.5875,47.4246,19.325,53.9665,18.6154,-614.247,19.5549
5.36331,0.986511,0.358958,3,15,0,-3.21188,-521.956,-497.991,31.3826,21.0152,20.6958,43.6854,21.8746,-595.908,33.2167
5.70345,0.951231,0.358958,3,7,0,-1.16085,-528.7,-499.925,40.6475,25.2692,22.6605,64.5773,27.3574,-619.366,29.594
6.27668,1,0.358958,3,7,0,-3.76188,-530.832,-495.932,34.3293,23.4245,21.3202,53.0652,19.4173,-605.899,33.4776
6.31428,0.991156,0.358958,4,15,0,-3.95286,-534.058,-496.209,35.8667,24.9514,20.1027,52.4209,19.7168,-609.744,36.1626
4.0127,0.850957,0.358958,4,15,0,-0.109509,-513.174,-511.61,41.4476,38.4882,18.9712,21.9675,19.7187,-593.311,21.2458
7.11751,1,0.358958,3,7,0,-1.63819,-527.118,-489.699,32.0369,30.8935,19.2751,27.9484,20.8442,-599.274,50.7334
-0.121756,0.75292,0.358958,2,6,1,2.32484,-533.597,-476.738,34.1772,37.8977,17.3626,22.8788,16.6378,-601.775,64.2604
7.02332,0.8,0.358958,2,5,1,1.26268,-519.818,-486.91,32.457,35.2978,18.5962,26.3852,17.152,-588.023,39.4304
5.46259,0.867896,0.358958,3,12,1,-0.504626,-520.65,-497.237,39.963,32.2378,16.1706,33.8209,14.8623,-591.646,28.3507
6.09751,0.794117,0.358958,3,15,0,-2.06764,-523.703,-498.958,35.6271,33.576,15.6779,19.6249,17.727,-592.735,40.5761
3.7152,0.970488,0.358958,4,15,0,0.0139653,-520.279,-495.425,50.6349,22.1525,16.551,44.7185,16.804,-604.268,41.9723
6.61159,1,0.358958,3,7,0,-1.42545,-516.383,-504.568,33.2549,29.8065,22.7348,31.9011,17.7456,-590.119,23.843
8.1132,0.994714,0.358958,3,7,0,-4.66286,-517.208,-496.449,32.1277,38.2483,23.0945,27.1934,21.3972,-593.827,31.9369
6.94553,0.502849,0.358958,3,7,0,-4.83353,-513.95,-498.026,32.4835,42.3438,23.1224,27.575,20.9985,-590.555,22.6099
8.35661,0.766187,0.358958,4,15,0,-5.07644,-521.504,-503.576,40.1118,35.7574,22.5369,25.4612,17.7093,-601.862,37.0674
