# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_grandparents_model
# start_datetime = 2023-04-03 18:50:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = model_grandparents_input.json
# init = 2 (Default)
# random
#   seed = 1335803763 (Default)
# output
#   file = model_grandparents_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_hochdorf,age_hochdorf,daughter_age_hochdorf,mother_age_asperg,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.425841
# Diagonal elements of inverse mass matrix:
# 47.6574, 0.0114635, 0.700899, 0.0355465, 0.0425655
6.51872,0.983962,0.425841,3,7,0,-6.14152,-559.336,32.6109,27.0499,23.2706,23.629,-526.725,-485.386
5.92883,0.960407,0.425841,2,3,0,-5.61833,-560.484,31.6941,26.71,22.022,22.8354,-528.79,-488.917
11.2984,0.953994,0.425841,4,15,0,-5.45387,-585.323,55.1998,37.0005,30.9233,33.3156,-530.123,-484.083
11.4564,0.891095,0.425841,2,7,0,-7.41528,-586.942,53.1449,39.8593,26.5901,27.9799,-533.797,-492.513
10.8406,0.964032,0.425841,2,3,0,-10.5303,-587.203,55.0025,43.0489,26.7136,25.8416,-532.2,-491.599
11.1107,0.995503,0.425841,4,15,0,-9.09807,-584.827,50.253,27.8763,36.2218,33.7044,-534.574,-487.024
9.92631,0.860819,0.425841,4,15,0,-5.21785,-588.18,49.4428,26.6938,29.4964,35.4928,-538.737,-496.497
11.623,0.992207,0.425841,3,7,0,-9.03374,-582.541,49.0171,30.571,32.0922,35.0707,-533.524,-484.807
4.54261,0.317656,0.425841,3,7,0,-2.39924,-577.429,55.7079,52.232,26.8903,21.4406,-521.721,-476.866
3.45269,0.937885,0.425841,4,15,0,2.02896,-556.562,32.2276,23.731,35.372,21.4992,-524.334,-475.96
