# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_siblings_model
# start_datetime = 2023-05-12 13:17:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_siblings_input.json
# random
#   seed = 390458552 (Default)
# output
#   file = model_siblings_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,birth_date_mother,age_m_a
# Adaptation terminated
# Step size = 0.635902
# Diagonal elements of inverse mass matrix:
# 31.846, 36.5465, 0.0227193, 0.0246548, 0.540728
1.09979,0.902275,0.635902,3,7,0,1.33808,-523.94,-504.148,29.755,41.7828,19.6688,-573.363,27.4329
1.06139,0.949777,0.635902,3,7,0,0.282498,-528.392,-497.171,44.2554,31.2813,19.8263,-592.474,64.0221
0.931303,0.9633,0.635902,3,7,0,0.963966,-513.436,-492.431,33.2757,42.063,21.3921,-568.104,33.6102
-0.0336453,0.932585,0.635902,3,7,0,2.86074,-529.689,-507.988,44.1356,34.3844,17.5281,-591.353,48.9802
0.959111,0.998956,0.635902,3,7,0,1.64555,-513.002,-499.181,33.1491,38.5384,23.1434,-569.295,31.576
-0.114207,0.958013,0.635902,2,3,0,0.982091,-509.336,-498.46,32.6785,34.6013,20.7484,-562.763,29.7016
0.83975,0.918014,0.635902,3,7,0,3.55374,-520.808,-486.715,39.8055,44.8917,19.4212,-580.035,48.4275
0.885419,0.953869,0.635902,3,7,0,1.27226,-521.653,-488.082,35.8476,39.4707,24.4474,-581.948,54.3955
2.49888,0.762648,0.635902,2,7,0,3.47455,-528.461,-497.266,35.8315,39.2424,18.3734,-582.666,46.1576
2.24408,0.952092,0.635902,3,7,0,-0.972366,-520.258,-496.068,42.8096,38.8221,23.0324,-586.1,51.2095
0.129103,0.83027,0.635902,3,7,0,1.10474,-513.181,-497.496,32.7236,28.9013,18.0257,-563.93,37.5332
0.123991,0.971769,0.635902,3,7,0,1.66911,-532.615,-498.082,45.0135,46.0012,20.2748,-597.904,53.8209
0.55577,0.953865,0.635902,3,7,0,2.08155,-529.513,-497.849,38.9878,44.9534,15.7019,-584.203,41.4006
-3.3333,0.848027,0.635902,2,7,0,5.6136,-512.671,-488.31,33.1543,41.2792,14.8273,-560.653,31.0635
-0.801766,1,0.635902,3,7,0,3.70207,-519.201,-494.239,33.6812,39.3971,14.8455,-567.728,34.0922
0.376919,0.951111,0.635902,3,7,0,3.06843,-519.907,-499.845,50.7984,42.3048,21.3893,-592.095,49.945
-0.230922,0.969745,0.635902,3,7,0,1.66491,-525.42,-497.73,27.6403,28.7714,17.2543,-570.315,43.813
0.0909703,0.937096,0.635902,3,7,0,4.69115,-517.741,-503.08,39.0478,49.8025,21.7033,-578.492,25.6098
-2.04076,0.688612,0.635902,3,7,0,4.34003,-529.982,-489.064,37.1914,24.5793,19.5125,-586.686,73.0427
0.804628,0.398306,0.635902,3,7,0,6.0638,-513.406,-497.363,41.5279,40.2817,25.5371,-580.471,42.8264
1.923,0.925227,0.635902,2,3,0,0.237911,-514.748,-499.15,38.695,43.0443,19.2895,-572.732,30.5381
0.182817,0.892511,0.635902,2,3,0,0.840983,-515.96,-493.975,32.6801,42.0483,27.4858,-576.126,40.1029
-1.7259,0.974931,0.635902,3,7,0,3.33572,-536.03,-501.967,28.9983,39.7724,16.2455,-581.274,39.5347
-0.561263,0.988015,0.635902,3,7,0,4.46889,-531.755,-509.064,39.2923,32.4283,17.8896,-588.937,47.4447
1.08228,1,0.635902,3,7,0,2.08482,-515.244,-490,32.2078,36.9597,19.8414,-567.293,40.3331
1.1508,0.971879,0.635902,2,7,0,0.191587,-519.158,-489.803,35.685,31.0284,19.5141,-574.357,53.5259
1.53515,0.973017,0.635902,3,7,0,0.968386,-521.131,-503.916,32.5491,42.9342,19.2636,-572.943,26.0932
2.38787,1,0.635902,2,7,0,-1.52703,-525.805,-493.088,41.2659,36.8521,19.3318,-586.402,56.4621
1.30034,0.882311,0.635902,3,7,0,0.306494,-526.883,-502.826,43.6898,40.6892,23.9334,-594.506,50.9909
0.812871,0.997296,0.635902,3,7,0,-0.0511126,-514.558,-494.934,34.2298,33.0659,16.3185,-565.106,37.1055
1.46982,0.96285,0.635902,3,7,0,0.906912,-527.966,-497.939,35.1129,38.2321,15.8794,-578.959,42.7877
