# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-04-03 09:43:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 1302950853 (Default)
# output
#   file = full_sibs_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_mother,mother_age_hochdorf,mother_age_asperg,age_hochdorf,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.323693
# Diagonal elements of inverse mass matrix:
# 261.07, 0.752545, 0.123158, 0.0555211, 0.0852692
11.8668,0.851627,0.323693,3,15,0,-9.52098,-578.525,13.2098,42.4058,40.9224,42.3909,-524.393,-493.729
9.77357,0.980154,0.323693,3,7,0,-8.94799,-594.837,30.1364,47.6415,24.1492,36.4706,-540.551,-510.725
10.9017,1,0.323693,4,15,0,-9.074,-559.592,11.8161,36.5633,32.4404,33.316,-515.335,-489.712
9.32377,0.965004,0.323693,3,15,0,-7.96318,-578.99,24.9157,47.6364,34.413,15.6504,-519.661,-515.703
10.3822,0.997831,0.323693,4,15,0,-8.89604,-577.464,31.9813,50.6348,32.8002,20.0051,-512.683,-506.824
10.5993,0.902145,0.323693,4,15,0,-3.87913,-590.294,40.6458,30.5386,39.5819,49.6124,-510.067,-510.143
8.71262,0.248551,0.323693,4,15,0,-6.44335,-579.956,3.51298,59.3739,54.4522,31.8963,-521.991,-488.686
7.26638,0.914725,0.323693,3,7,0,-6.58325,-581.456,4.09686,67.8147,57.1579,33.8776,-520.201,-479.764
11.0202,0.990876,0.323693,3,7,0,-5.78573,-589.147,15.7074,34.7749,37.9443,41.4795,-535.496,-512.893
10.8722,0.993487,0.323693,4,15,0,-9.90626,-587.885,16.2922,47.5885,41.0377,25.0832,-530.555,-515.213
