# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-03-21 21:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 222271579 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_a,age_a,birth_date_h,age_h,birth_date_m,birth_age_mother_h,birth_age_mother_a
# Adaptation terminated
# Step size = 0.165237
# Diagonal elements of inverse mass matrix:
# 236.62, 0.0786845, 242.427, 0.055143, 242.786
2.50221,0.984466,0.165237,3,7,0,-0.908091,-555.392,27.2755,-554.488,62.2044,-589.119,34.6308,33.7274
2.47245,0.909128,0.165237,4,15,0,-0.416589,-555.745,23.6388,-557.826,59.2238,-582.761,24.9344,27.016
4.50953,0.947523,0.165237,5,39,0,0.815679,-537.165,18.8842,-541.551,41.7836,-571.01,29.4589,33.8448
3.86172,0.984991,0.165237,3,11,0,-2.81373,-533.892,23.6592,-533.234,34.5046,-565.637,32.4026,31.7443
3.12092,0.849791,0.165237,3,15,0,-0.888646,-529.61,25.6525,-541.114,41.2717,-566.038,24.9239,36.4286
2.24471,0.933517,0.165237,2,3,0,-2.11844,-530.058,25.8306,-543.214,41.5178,-564.852,21.6376,34.7942
1.91162,0.874947,0.165237,4,23,0,0.317419,-550.014,20.388,-564.342,45.2867,-593.225,28.8832,43.2109
1.54373,0.999609,0.165237,4,31,0,0.067563,-530.114,15.9106,-545.315,47.4083,-566.661,21.3467,36.5469
2.86219,0.999127,0.165237,4,31,0,0.57551,-548.576,31.3152,-550.981,51.9512,-583.783,32.8018,35.2072
2.41473,0.997468,0.165237,3,7,0,-1.92595,-548.731,32.6116,-549.577,51.9964,-582.524,32.9476,33.7927
1.2392,0.998198,0.165237,4,31,0,2.19062,-583.352,17.8016,-585.887,53.5525,-616.396,30.5096,33.0442
4.35255,0.982223,0.165237,4,31,0,0.17749,-558.03,23.0787,-559.068,55.936,-590.259,31.1908,32.2288
4.68902,0.976313,0.165237,4,15,0,-3.80483,-553.01,21.5461,-556.518,49.8758,-584.401,27.8824,31.3912
4.20432,0.996391,0.165237,3,15,0,-3.75835,-551.686,18.6202,-553.676,52.1376,-586.115,32.4392,34.429
4.4712,0.997771,0.165237,4,15,0,-3.66231,-551.512,19.6768,-557.177,46.1833,-584.094,26.9168,32.5824
2.99619,0.943299,0.165237,4,15,0,-2.05332,-540.736,27.8484,-543.922,31.487,-575.362,31.4392,34.6255
2.35855,0.963016,0.165237,3,7,0,-1.3054,-540.204,28.6066,-547.839,30.7993,-575.496,27.657,35.292
2.6022,0.741702,0.165237,4,15,0,3.50113,-532.336,23.2075,-526.604,51.4246,-560.949,34.3445,28.6122
3.62902,0.733818,0.165237,4,15,0,-0.217553,-529.879,19.0547,-528.062,37.278,-560.47,32.4082,30.5911
4.62562,0.963213,0.165237,5,31,0,-2.12788,-546.955,25.3848,-550.282,44.4755,-582.235,31.9522,35.2792
1.06051,0.976722,0.165237,4,15,0,0.130063,-539.865,33.0258,-542.192,57.3775,-574.232,32.0403,34.3674
-0.0817952,0.843654,0.165237,3,7,0,4.07057,-546.372,33.0774,-557.148,57.4777,-578.482,21.3333,32.1092
3.62639,0.998619,0.165237,4,23,0,2.09169,-541.139,23.2149,-537.43,51.4351,-568.536,31.106,27.3968
4.13221,0.987134,0.165237,3,15,0,-2.35952,-540.047,20.0584,-550.07,44.1198,-575.959,25.8892,35.9121
3.69703,0.939345,0.165237,4,15,0,-2.34978,-540.008,17.4035,-538.824,43.034,-567.981,29.1578,27.9734
4.50112,0.961259,0.165237,4,15,0,-2.91987,-541.568,23.5371,-545.8,49.0513,-577.59,31.7903,36.0229
2.14141,0.752974,0.165237,2,7,0,-1.80803,-544.948,23.6352,-546.516,47.249,-569.708,23.1919,24.7594
4.17672,0.942546,0.165237,3,15,0,0.0924271,-536.789,24.4626,-545.645,42.5168,-571.922,26.2768,35.133
3.38782,0.835494,0.165237,2,3,0,-2.93001,-534.268,24.7513,-543.813,42.4914,-573.941,30.1275,39.6726
3.72956,0.996902,0.165237,2,7,0,-2.5524,-534.6,26.1053,-544.29,43.0142,-571.641,27.3519,37.0413
3.38555,0.889483,0.165237,4,15,0,-1.25455,-537.742,24.7783,-543.321,48.9405,-567.371,24.0501,29.6294
3.29242,0.995802,0.165237,4,23,0,-0.389897,-554.204,22.5921,-559.842,56.0734,-593.093,33.251,38.889
2.76047,0.908341,0.165237,5,31,0,-0.844888,-563.942,24.3341,-568.345,40.8283,-592.847,24.5014,28.9042
-1.41057,0.74927,0.165237,3,15,0,2.32215,-556.322,21.9253,-560.711,34.9294,-600.182,39.4705,43.8598
-1.39112,0.911887,0.165237,3,15,0,4.74968,-568.901,20.3371,-571.208,40.3777,-591.88,20.6722,22.9789
2.44144,0.983529,0.165237,4,23,0,2.6505,-541.574,22.6233,-542.417,52.1364,-567.066,24.6493,25.4923
2.95601,0.999981,0.165237,4,31,0,-1.51368,-564.734,20.4509,-563.345,41.5197,-591.352,28.0067,26.6181
0.694625,0.997453,0.165237,3,15,0,0.542839,-556.572,30.449,-563.078,64.9255,-586.93,23.8523,30.358
-1.74317,0.948767,0.165237,4,23,0,4.65807,-525.791,12.7354,-539.44,23.1118,-564.588,25.1485,38.797
0.21316,0.984842,0.165237,4,31,0,5.06383,-522.123,14.5194,-529.335,24.2621,-559.467,30.1321,37.3436
1.24888,0.992543,0.165237,4,15,0,0.937938,-514.956,15.1289,-520.511,32.0487,-546.722,26.2113,31.7661
3.34911,0.998271,0.165237,5,31,0,-0.0331249,-539.213,28.5968,-545.388,38.7073,-571.536,26.1486,32.3229
-0.435331,0.9242,0.165237,4,15,0,1.56352,-545.636,8.33691,-540.673,45.0281,-574.776,34.1027,29.1399
2.90118,0.885265,0.165237,4,23,0,4.60764,-570.833,17.8373,-574.831,53.5801,-604.34,29.5091,33.5071
3.98279,1,0.165237,4,15,0,-2.69348,-567.231,23.1147,-570.19,55.4206,-600.34,30.1499,33.1095
2.99908,0.826074,0.165237,3,7,0,-0.633935,-568.325,22.5478,-576.765,58.6536,-604.46,27.6959,36.1351
